year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
2009,-12.642542436434411,744.8578624933016,-588.3116211732269,172.12550376230806,328.6717450823828,-180.01439814973838,159.77745470090667,Mendota
2010,102.62681266978198,391.8062453042053,-359.257825385968,137.97503990824256,170.52345982647986,-169.75500754650184,150.319382189756,Mendota
2011,57.335295940071,643.6908176108942,-493.95868918839057,175.94120537491162,325.67333379741524,-180.33838161663104,77.24032157830197,Mendota
2012,119.38458120337268,559.3406493457765,-536.1478089849165,152.43227805342985,175.62511841428977,-166.89862982578438,143.27543649366746,Mendota
2013,-252.0418874085562,735.9771758689396,-374.58474764611003,132.91990343410092,494.3123316569305,-132.14306858727795,170.08390196547063,Mendota
2014,-300.23557175905546,977.8682959866384,-520.4211976892932,151.80986341711878,609.256961714464,-172.5754250442755,176.08962295559587,Mendota
2015,26.59065569551486,675.8914601943715,-527.4185997474234,170.684392261122,319.1572527080701,-221.3514464770908,197.67031484622484,Mendota
2016,47.88822426101994,535.6381852770135,-431.84869247468004,162.79077156223454,266.58026436456794,-180.20743213504062,161.45922206177156,Mendota
2017,404.34782411078845,106.78358922289942,-332.7710262357095,141.49582814464156,-84.4916088681685,-199.6959672257495,157.60267448786965,Mendota
2018,-881.0985844846324,1462.9741713639824,-453.8540621979416,143.45263287333074,1152.5727420393714,-168.5743170881362,180.5627779259384,Mendota
2019,-1201.7439851122037,1835.0434083119167,-478.4719412436378,157.90106333733954,1514.4725304056185,-124.42911323345415,267.4372944382914,Mendota
1996,236.73939921382302,400.498497414864,-474.23089807886777,153.3317588485684,79.59935818456464,-165.8000867781951,201.5122072091123,Monona
1997,-150.26302656179067,735.3551647904717,-412.1990267878627,147.77579635251146,470.93193435512046,-217.42830157533783,198.0168906944451,Monona
1998,-224.52180038029874,603.6748862792224,-298.8279313089919,108.17773550037823,413.02469047060873,-160.04531046472113,174.38662420127613,Monona
1999,-174.58703590049535,852.8923790156613,-503.87958921083293,181.98608467520543,530.9988744800338,-291.6604124104795,209.17103138826974,Monona
2000,84.60251093201245,486.4269974146188,-439.26987219439974,144.32846651277922,191.4855917329983,-214.0698200069617,170.77449149799324,Monona
2001,-78.54408965135616,878.3399524976714,-602.2497238514844,182.11263340380924,458.20286204999627,-277.16947836912175,189.6893820422887,Monona
2002,-394.5530787146117,1012.4565346435486,-438.6326506909416,167.34812945752248,741.1720134101295,-192.80366612619628,162.20122738181246,Monona
2003,73.17229902302138,734.0882580519974,-614.2199936352134,213.6213521505364,333.48961656732035,-260.9139190324356,181.27921807835904,Monona
2004,-425.4168771360443,1187.5214967502297,-564.3231784447082,197.86371748281664,821.0620357883381,-225.52519118162485,205.25324527755524,Monona
2005,-509.9914802317625,1172.397561609256,-464.5929184327351,184.63459427439506,892.4392374509159,-221.20858060433122,197.60735257861194,Monona
2006,-238.82767040934462,1019.72171743856,-600.9311987871196,199.0573688560716,617.847887507512,-256.11780190473803,262.48908219241434,Monona
2007,447.4617964142401,359.89561044442365,-643.3314871932765,178.1087844066868,-105.32709234216608,-239.71632542303195,129.5387511363822,Monona
2008,-184.71288434481605,894.421542533954,-519.8392312954509,173.1008743728193,547.6831856113224,-228.99694945427868,190.26228810318543,Monona
2009,142.41534447998845,569.1908472367201,-551.4897519882095,180.94792310438953,198.6490183529001,-270.1070859094966,231.98535007209097,Monona
2010,236.33735087878492,347.4026532381025,-428.73717724451114,156.63657818179357,75.30205417538494,-225.70645334126854,177.59813387287332,Monona
2011,381.8348555368764,193.78492908687173,-438.89729100649794,152.46497551481326,-92.64738640481295,-155.73374018506192,113.37908684314496,Monona
2012,536.725046284736,236.26141731678146,-556.2513885390588,185.2836863620473,-134.70628486023,-225.2980444914185,170.01214442302847,Monona
2013,34.82610255264549,476.339904994858,-357.98819616745925,171.71097821776834,290.0626870451671,-166.30505799897176,178.90018029065837,Monona
2014,24.892686878067952,657.8015918976602,-498.308383394448,174.62986739145825,334.12307589467036,-233.07051870297485,215.42480724770127,Monona
2015,321.77281197161676,246.27157655824138,-407.62765902333285,149.04298763746857,-12.313094827622905,-184.88680754100028,163.3826876239969,Monona
2016,345.01148094984205,249.7945655917127,-458.84981398054924,167.70401868134084,-41.35122970749569,-216.50072164016677,179.2305673848625,Monona
2017,606.1662365520765,22.21541216630972,-428.1625559803021,157.67678468024286,-248.27035913374954,-269.2567422741273,172.46935993229454,Monona
2018,-546.2500249418209,1140.1687469149176,-441.9968511234441,163.69140899121152,861.863304782685,-200.96432136499345,180.84181679594593,Monona
2019,-552.2956698897524,1150.7020305837873,-433.07391429089176,166.11991017105174,883.7480264639473,-214.69171813184735,180.88705378546786,Monona
1996,216.92723119779566,55.098209577714556,60.188009931083734,323.06320461461775,438.34942412341604,-47.40871555882158,40.046431979689515,Sparkling
1997,175.5165470699822,-40.76185044228625,224.71962431254946,360.93168809252103,544.8894619627843,-27.988515052027964,25.325578849559744,Sparkling
1998,18.402921655741093,89.8111277098907,244.84992659297228,340.403208238524,675.0642625413869,-48.20503416994126,69.04708718641209,Sparkling
1999,67.73253418602327,68.80655709518231,236.94199914745508,369.10410587624966,674.8526621188871,-9.554636977422021,10.830734219289132,Sparkling
2000,-32.68491907012172,300.0441517516423,74.71490074352796,356.927914897713,731.6869673928832,-54.3873616676715,45.95702049556805,Sparkling
2001,-101.26825172632986,438.58890397620155,42.329286183746014,358.99570553724016,839.9138956971877,-34.92584224255021,32.77922970253769,Sparkling
2002,-88.21270956676787,340.0251529997315,82.70313256142326,349.6820185330967,772.4103040942515,-17.898021940810857,53.27424995313415,Sparkling
2003,74.19105407448052,275.8095659921665,-23.35424947826441,322.76418851948364,575.2195050333858,-70.46516215239151,63.71065584968689,Sparkling
2004,59.59746944381601,162.52111146785833,146.56714918128853,371.2372173292209,680.3254779783678,-42.718483528417316,56.61659665669943,Sparkling
2005,-71.1744359946053,226.01449405569406,196.11451899141832,356.2529237170726,778.381936764185,-13.928424906627972,36.95980152301003,Sparkling
2006,40.123830286112494,233.20069155194025,62.887138518522676,333.37433559597554,629.4621656664385,-53.085668330942205,52.45148635031314,Sparkling
2007,-26.116156794309628,206.1003810221053,145.5288573288618,328.0018283796099,679.631066730577,-36.006506107946834,54.82910181597084,Sparkling
2008,-63.22976495347501,344.04894112270165,40.47331776772147,319.52182183575974,704.0440807261829,-44.012079260993076,55.765962179149945,Sparkling
2009,-76.20618647187526,289.85051962413763,148.95493647102484,359.00097209218006,797.8064281873426,-33.941189731510455,57.55844946500506,Sparkling
2010,17.774826798926608,191.247955636203,132.54709592992583,353.954463731841,677.7495152979698,-75.93656409923113,129.52062538527076,Sparkling
2011,121.426605907456,138.8389176778594,91.3720614178615,353.8653595264615,584.0763386221824,-44.925463981137355,37.96901547492644,Sparkling
2012,93.59833719130312,93.91365077183973,145.45371681286554,330.62040357842176,569.987771163127,-53.20210473870215,41.83678909342555,Sparkling
2013,13.505981669927548,176.3251004451395,107.52911540743477,299.46831248999683,583.3225283425711,-41.529673152791794,53.21789049344635,Sparkling
2014,35.814318827562055,293.9525084848019,-21.95502540728694,313.5121149788053,585.5095980563203,-75.48566688217976,68.13760711067705,Sparkling
2015,130.28266358316324,223.62934173277586,3.8192521711366965,339.9892947383513,567.4378886422638,-63.802696467371,58.12820308455818,Sparkling
2016,-8.82603958633085,251.5645004317065,55.99906622370331,315.8367751712285,623.4003418266384,-51.864048106807296,46.7541984679082,Sparkling
2017,189.20308370183477,131.8159553258762,-25.82407292703867,286.345111382576,392.3369937814135,-90.62864355342157,97.27071197076341,Sparkling
2018,-48.55555968568564,340.0763066060528,4.114683884804779,292.2713532564111,636.4623437472687,-59.342217053347,53.147989849779144,Sparkling
2019,96.84722103731315,199.63498151667764,-50.62242783231144,311.81670047056997,460.82925415493617,-68.72985562895069,64.0424327124487,Sparkling
1996,160.3289553943449,49.96554199234885,112.64611527550966,303.69066909719453,466.30232636505303,-49.737929355474044,45.57479519282628,Trout
1997,25.259701161828563,130.86226489579752,151.12722974673156,307.1352109023279,589.124705544857,-0.685228432028528,12.897356634186625,Trout
1998,24.633671796010297,168.88397373649943,91.99062460468438,285.64385779483626,546.5184561360201,-60.21498348714198,56.582264193191044,Trout
1999,96.3083571199934,-38.19476490000065,257.8030464325175,310.84766176700793,530.4559432995247,-38.74283286109794,46.14369960984006,Trout
2000,-149.78718281949062,240.86509181965837,162.4853178335901,265.92717727422036,669.2775869274687,-79.1297811392781,99.73728239561026,Trout
2001,-90.61443780795952,284.66743551700085,20.925562196120076,198.05130458071596,503.6443022938369,-67.95214538046064,76.92685678465712,Trout
