obsdata,simdata,id,type
7280,6996.713333759144,Allequash,Hypolimnion
4710,5217.155767875562,Allequash,Hypolimnion
5010,5323.457178493258,Allequash,Hypolimnion
5350,5381.383982994726,Allequash,Hypolimnion
4016.66666666667,4205.438221334253,Allequash,Hypolimnion
2066.66666666667,2419.8883672218376,Allequash,Hypolimnion
5210,6613.453844414313,Allequash,Hypolimnion
7066.66666666667,5159.026904432998,Allequash,Hypolimnion
7070,6579.498534687549,Allequash,Hypolimnion
8130.000000000001,8280.131754005706,Allequash,Hypolimnion
3116.6666666666697,3957.896767541427,Allequash,Hypolimnion
5250,4613.720806764593,Allequash,Hypolimnion
5383.33333333333,4888.251912374515,Allequash,Hypolimnion
5900,5916.077592224158,Allequash,Hypolimnion
2100,1708.5479256223746,Allequash,Hypolimnion
50,356.3511331796954,Allequash,Hypolimnion
1683.33333333333,2574.7433195571084,Allequash,Hypolimnion
0,5263.521420123372,Allequash,Hypolimnion
5150,3952.752662622246,Allequash,Hypolimnion
8866.666666666672,7874.6302658846835,Allequash,Hypolimnion
7283.333333333329,7230.674435627343,Allequash,Hypolimnion
6530,6406.176334905589,Allequash,Hypolimnion
6130,5267.276657626135,Allequash,Hypolimnion
3616.6666666666697,4551.479652072299,Allequash,Hypolimnion
4710,4256.53641086417,Allequash,Hypolimnion
733.3333333333329,3049.4428436978924,Allequash,Hypolimnion
3350,1478.6665760084663,Allequash,Hypolimnion
5820,4824.238136210305,Allequash,Hypolimnion
7570,5591.034230899354,Allequash,Hypolimnion
0,5852.033850960262,Allequash,Hypolimnion
9610,8928.799184893785,Allequash,Hypolimnion
7266.666666666671,7651.344905741047,Allequash,Hypolimnion
8140.000000000001,7587.874361921153,Allequash,Hypolimnion
7020,6875.381057650564,Allequash,Hypolimnion
6900,6447.837984545435,Allequash,Hypolimnion
6300,5451.866024661923,Allequash,Hypolimnion
4940,4497.846361980462,Allequash,Hypolimnion
300,3864.099038054959,Allequash,Hypolimnion
5216.666666666671,6114.154596438261,Allequash,Hypolimnion
6120,6533.1580730980995,Allequash,Hypolimnion
8060.000000000001,6562.723767046852,Allequash,Hypolimnion
10166.6666666667,9219.330081643202,Allequash,Hypolimnion
7510,7698.356966686701,Allequash,Hypolimnion
7120,6992.822777269448,Allequash,Hypolimnion
6580,6451.872527119722,Allequash,Hypolimnion
6500,6364.966923642278,Allequash,Hypolimnion
5700,5664.191437273186,Allequash,Hypolimnion
5490,5398.548833912648,Allequash,Hypolimnion
4430,4959.251876094131,Allequash,Hypolimnion
6800,6221.466108644909,Allequash,Hypolimnion
8666.66666666667,8285.493990672157,Allequash,Hypolimnion
7950,6695.042724337989,Allequash,Hypolimnion
7590,10575.020790778144,Allequash,Hypolimnion
8950,8658.04601317838,Allequash,Hypolimnion
7150,6344.0589979338865,Allequash,Hypolimnion
4450,5555.647526973758,Allequash,Hypolimnion
5860,6210.051702143615,Allequash,Hypolimnion
5790,5420.579311508792,Allequash,Hypolimnion
5690,4444.234691852326,Allequash,Hypolimnion
4433.33333333333,4228.257165602482,Allequash,Hypolimnion
3100,4176.461488649729,Allequash,Hypolimnion
900,4190.200315084985,Allequash,Hypolimnion
3533.3333333333303,4954.373184894558,Allequash,Hypolimnion
10000,5463.7878288750635,Allequash,Hypolimnion
8516.66666666667,8439.7699232348,Allequash,Hypolimnion
8650,7667.260886767567,Allequash,Hypolimnion
8460,7761.228481325956,Allequash,Hypolimnion
5416.66666666667,7544.714201011265,Allequash,Hypolimnion
6010,5359.702774279866,Allequash,Hypolimnion
3566.66666666667,5281.668665061408,Allequash,Hypolimnion
5130,4666.894802638767,Allequash,Hypolimnion
6200,4207.821386392294,Allequash,Hypolimnion
3350,5665.797072931822,Allequash,Hypolimnion
